"listing_neighbourhood","number_of_unique_hosts","hosts_covering_mortgage","hosts_not_covering_mortgage"
bayside,2460,0,2460
blacktown,1045,0,1045
burwood,126,0,126
camden,75,0,75
campbelltown,175,0,175
canada bay,629,0,629
canterbury-bankstown,1014,0,1014
cumberland,510,0,510
fairfield,92,0,92
georges river,425,0,425
hornsby,1870,0,1870
hunters hill,18,0,18
inner west,2071,19,2052
lane cove,144,0,144
liverpool,374,0,374
mosman,20,0,20
northern beaches,12255,342,11913
north sydney,702,0,702
parramatta,1591,0,1591
penrith,325,0,325
randwick,1755,15,1740
ryde,442,0,442
strathfield,28,0,28
sutherland shire,1189,0,1189
sydney,7275,25,7250
the hills shire,198,0,198
waverley,2222,22,2200
willoughby,390,0,390
woollahra,616,0,616
